doc_id,title,year,source,specialty,parent_doc_id,text
pmid-41884793_c0,Chronic pulmonary aspergillosis and pulmonary embolism/venous thromboembolism: a case series and systematic review of the literature.,2026,Therapeutic advances in infectious disease,general,pmid-41884793,"Chronic pulmonary aspergillosis (CPA) often arises in the setting of structural lung damage and is associated with chronic inflammation, which increases the risk of venous thromboembolic disease (VTE), including pulmonary embolism (PE). However, the clinical context and pathophysiological mechanisms underlying CPA/VTE remain poorly defined. This study aims to highlight the clinical challenges through a case series and systematic review of existing literature regarding this rare co-occurrence. We present three complex cases from Kiruddu National Referral Hospital in Uganda: two males, one female, aged 44-80 years, with post-tuberculosis lung disease. All three were diagnosed with Aspergillus IgG-positive CPA and confirmed PE (two acute, one with chronic thromboembolic pulmonary hypertension (CTEPH)). One presented with concurrent active tuberculosis (TB) relapse and severe immunosuppression (CD4 T-cells < 200 cells/mm3), and two had HIV. All patients received itraconazole and anticoagulation with rivaroxaban. Two patients survived and are stable on therapy, while one patient died due to septic shock. A systematic search of PubMed, Embase, Scopus, and Web of Science yielded seven studies reporting nine patients with coexisting CPA and VTE/PE. Underlying conditions most frequently included prior TB (n = 3) and chronic obstructive pulmonary disease (n = 3). PE was chronic in three patients (including one with CTEPH), with CPA subtypes ranging from simple aspergilloma to subacute invasive aspergillosis and angioinvasive aspergillosis. Proposed mechanisms included endothelial damage due to Aspergillus angioinvasion and creation of post-PE lung cavities/infarcts suitable for Aspergillus colonization. Anticoagulation was used in six cases, but was complicated by hemoptysis in three. Two-thirds of patients improved with antifungal therapy, while three deaths were reported. CPA may coexist with PE/DVT due to fungal angioinvasion, chronic inflammation, or immobilization from advanced lung disease. Management requires individualized balancing of antifungal and anticoagulation therapy, with heightened vigilance for bleeding. Chronic lung aspergillosis and blood clots in the lungs: a case series and review of published reports Chronic pulmonary aspergillosis (CPA) is a long-term lung infection caused by Aspergillus fungus, usually affecting people whose lungs have been damaged by conditions such as tuberculosis (TB). Because CPA causes ongoing inflammation, it may increase the risk of blood clots in the lungs and legs—known as venous thromboembolism (VTE), including pulmonary embolism (PE). However, this combination is uncommon and not well understood. In this study, we describe three patients from Kiruddu National Referral Hospital in Uganda who had both CPA and PE. The patients were between 44 and 80 years old, all with previous TB-related lung damage. All tested positive for Aspergillus IgG, confirming CPA, and also had PE—two acute cases and one long-standing case that had progressed to chronic thromboembolic pulmonary hypertension (CTEPH). Two of the three patients were living with HIV, and one had a TB relapse with severe"
pmid-41884793_c1,Chronic pulmonary aspergillosis and pulmonary embolism/venous thromboembolism: a case series and systematic review of the literature.,2026,Therapeutic advances in infectious disease,general,pmid-41884793,"describe three patients from Kiruddu National Referral Hospital in Uganda who had both CPA and PE. The patients were between 44 and 80 years old, all with previous TB-related lung damage. All tested positive for Aspergillus IgG, confirming CPA, and also had PE—two acute cases and one long-standing case that had progressed to chronic thromboembolic pulmonary hypertension (CTEPH). Two of the three patients were living with HIV, and one had a TB relapse with severe immune suppression. All three received antifungal treatment (itraconazole) and blood-thinning medication (rivaroxaban). Two patients recovered well, while one died from septic shock. We also reviewed published studies on this rare combination. Across seven studies, only nine similar cases were found worldwide. The most common underlying lung problems were previous TB and chronic obstructive pulmonary disease (COPD). Some patients had chronic PE, and others had different forms of CPA—from simple cavities to more invasive fungal disease. Researchers suggested two possible explanations: 1. Aspergillus may directly damage blood vessels, increasing clot risk. 2. Lung cavities or infarcts caused by PE may create environments where Aspergillus can grow. Treating both conditions together is challenging. Blood thinners can cause bleeding, especially coughing up blood, which occurred in several cases. Still, most patients improved with antifungal treatment. Overall, CPA and PE can occur together and require careful, individualized management."
pmid-41876992_c0,"Dual Infection with dengue virus and infective endocarditis leading to brain abscess, multiorgan infarctions, and horner syndrome: a case report with literature review.",2026,BMC cardiovascular disorders,general,pmid-41876992,"This case report describes the rare occurrence of co-infection with dengue fever followed by infective endocarditis in a young patient from an endemic area. This infection led to multiple complications, including multiorgan infarctions involving the brain, kidneys, liver, and spleen; septic emboli; brain abscess; and horner's syndrome. The clinical course, diagnostic challenges, and management are discussed, along with a brief review of the literature addressing the relationship between dengue-related immunosuppression and secondary bacterial infections, which can lead to infective endocarditis and septic emboli, resulting in multiorgan infarctions. A 17-year-old previously healthy male presented one month after confirmed dengue infection with persistent fever and progressive neurological deterioration. Neuroimaging revealed multiple cerebral infarctions, including hemorrhagic and ischemic events, complicated by a brain abscess. Abdominal imaging demonstrated wedge-shaped infarctions in the kidneys, liver, and spleen, consistent with systemic septic embolization. Echocardiography identified a mobile mitral valve vegetation, establishing the diagnosis of infective endocarditis. Laboratory investigations showed elevated inflammatory markers and positive dengue IgM serology. The patient was managed with prolonged intravenous antibiotic therapy and supportive multidisciplinary care, resulting in radiological and clinical improvement. Dengue fever-associated immune dysregulation may predispose patients to secondary bacterial infections, including infective endocarditis. Septic embolization is a well-known complication of IE, but the extent of multiorgan involvement seen in this case is uncommon. Brain abscess secondary to IE is also rare and requires multidisciplinary management."
pmid-41852517_c0,In Vivo Emergence of Oxacillin Resistance in mecA-Negative MSSA Endocarditis With Metastatic Infection.,2026,Clinical case reports,general,pmid-41852517,"Staphylococcus aureus bacteremia (SAB) is particularly challenging when complicated by infective endocarditis (IE), metastatic spread, or evolving antimicrobial resistance. We describe a 76-year-old woman with poorly-controlled diabetes who presented with bilateral knee septic arthritis and persistent methicillin-sensitive S. aureus (MSSA) bacteremia complicated by in vivo emergence of oxacillin resistance despite a mecA-negative genotype. Her clinical course was marked by an aortomitral intervalvular fibrosa abscess, vertebral osteomyelitis with epidural extension, a psoas abscess, and septic renal infarctions. She experienced breakthrough bacteremia despite initial clearance on oxacillin. Surgery was delayed due to intracranial hemorrhage but was ultimately enabled by middle meningeal artery embolization (MMAE). This case highlights the rare emergence of phenotypic oxacillin resistance in mecA-negative MSSA during therapy and illustrates the role of MMAE in facilitating time-sensitive cardiac surgery in the setting of recent intracranial bleeding. It underscores the importance of dynamic diagnostic reassessment, serial susceptibility testing, and multidisciplinary coordination in complicated SAB."
pmid-41836947_c0,Evaluation of the real-world safety of eptifibatide in the treatment of ARDS: results of a disproportionality analysis of FAERS data.,2026,Frontiers in medicine,general,pmid-41836947,"Acute respiratory distress syndrome (ARDS) is a clinical syndrome with an extremely high mortality rate, and antiplatelet therapy is an important treatment approach. Eptifibatide, a glycoprotein IIb/IIIa receptor inhibitor (GPI), is primarily used to treat acute coronary syndrome (ACS) and non-venous thromboembolic pulmonary embolism, as well as for antiplatelet therapy in conditions such as ARDS and septic shock. With its increasing clinical application, understanding its safety profile in real-world settings is essential. This study evaluated the clinical safety of Eptifibatide by analyzing all adverse event (AEs) reports in the FDA Adverse Event Reporting System (FAERS) where Eptifibatide was listed as the primary suspected drug since 2004. Analytical methods included the Bayesian Confidence Propagation Neural Network (BCPNN), the UK Medicines and Healthcare Products Regulatory Agency (MHRA) comprehensive standard method, the Multi-item Gamma Poisson Shrinker (MGPS), the Proportional Reporting Ratio (PRR), and the Reporting Odds Ratio (ROR). The study confirmed known adverse reactions of Eptifibatide, such as bleeding, intracranial hemorrhage, stroke, thrombocytopenia, allergic reactions, immunogenicity, and hypotension, which are also listed in the drug's prescribing information. Additionally, some previously unmentioned adverse reactions were identified, including acute myocardial infarction, cardiac arrest, nausea, hemorrhagic pancreatitis, chills, dyspnea, and vascular pseudoaneurysm. The study also highlighted the importance of early detection of adverse reactions to Eptifibatide. This research provides insights into both known and potential adverse reactions associated with Eptifibatide in real-world clinical use, offering additional safety information for clinicians when prescribing Eptifibatide for ARDS treatment."
pmid-41808219_c0,Infective endocarditis in an adult male patient with tetralogy of Fallot physiology secondary to double outlet right ventricle presenting with stroke: a complex presentation with multiorgan dysfunction-a case report.,2026,Journal of medical case reports,general,pmid-41808219,"Infective endocarditis presents unique challenges, particularly in individuals with congenital heart diseases, such as this case, where the patient had tetralogy of Fallot physiology secondary to double outlet right ventricle, and Fanconi anemia. This case describes how the combination of multiple factors necessitated multidisciplinary management. A 45-year-old South Asian male patient with a known history of tetralogy of Fallot physiology secondary to double outlet right ventricle presented to our emergency department with fatigue, fever, and neurological deficits suggestive of an embolic stroke. Transthoracic echocardiography revealed severe pulmonary stenosis and a significant subaortic ventricular septal defect with vegetations, indicative of infective endocarditis. Magnetic resonance imaging of the brain demonstrated multiple infarcts, suggestive of an embolic event. Blood cultures grew Streptococcus mitis. The patient was admitted to the intensive care unit and treated with aggressive antibiotic therapy. However, his clinical course was complicated by disseminated intravascular coagulation and acute kidney injury, requiring hemodialysis and transfusion support. Despite interventions, his condition deteriorated further. Genetic consultation indicated Fanconi anemia, adding complexity to his clinical management. This case is remarkable because the patient survived up into adulthood with double outlet right ventricle and tetralogy of Fallot physiology without prior corrective surgery, which is a rare occurrence. The embolic stroke, likely resulting from a septic embolus, and the presence of Fanconi anemia further complicated the clinical scenario. Despite aggressive treatment, the patient's progression to refractory sepsis and disseminated intravascular coagulation ultimately resulted in cardiac arrest. This case underscores the importance of early recognition, multidisciplinary collaboration, and tailored therapeutic strategies in managing complex congenital heart diseases with infective endocarditis and other comorbidities."
pmid-41802290_c0,"Septic embolus resulting in M1 occlusion with separate, multiple distal mycotic aneurysms, complicated by surrounding concurrent cerebral abscess: illustrative case.",2026,Journal of neurosurgery. Case lessons,general,pmid-41802290,"Intracranial mycotic aneurysms are rare, representing only 0.7%-5.4% of all intracranial aneurysms, and typically arise from septic emboli secondary to infective endocarditis. Large-vessel occlusion due to a septic embolus is exceedingly uncommon and carries high morbidity. A 29-year-old man with methicillin-resistant Staphylococcus aureus endocarditis and intravenous drug use presented with intracerebral and subarachnoid hemorrhage. CT angiography revealed a left parieto-occipital hematoma with midline shift. An emergency craniotomy for hematoma evacuation exposed a ruptured distal middle cerebral artery (MCA) mycotic aneurysm, which was clipped, and pathological analysis confirmed abscess formation within the aneurysm wall. Despite antibiotic therapy, a new distal MCA aneurysm developed within an abscess cavity. Cerebral angiography later demonstrated M1 occlusion requiring mechanical thrombectomy, achieving partial reperfusion consistent with Thrombolysis in Cerebral Infarction grade 2a. The persistent abscess and aneurysm required Onyx embolization and abscess drainage in a hybrid operating room. Sequential mycotic aneurysms with concurrent large-vessel occlusion and abscess formation represent a rare and aggressive manifestation of septic emboli. Successful management depends on coordinated microsurgical clipping, endovascular embolization, thrombectomy, and abscess evacuation. Early recognition of evolving vascular pathology and combined surgical-endovascular approaches improve outcomes in infective mycotic aneurysm-related cerebrovascular disease. https://thejns.org/doi/10.3171/CASE25902."
pmid-41798599_c0,Unexpected twist: large marginal branch occlusion of the left circumflex artery unveiled by immediate and pivotal cardiac magnetic resonance imaging in a 19-year-old with suspected myocarditis-a case report.,2026,European heart journal. Case reports,general,pmid-41798599,"Myocarditis and myocardial infarction in young patients can present with overlapping symptoms, posing a diagnostic challenge. Advanced cardiac imaging, particularly cardiac magnetic resonance imaging (MRI), plays a pivotal role in distinguishing between these entities. A 19-year-old male presented with a 5-week history of fever, general weakness, and new atypical chest pain, raising the suspicion of myocarditis. Immediate cardiac MRI revealed signs of lateral wall ischaemia. Coronary angiography confirmed an occlusion of a large marginal branch of the left circumflex artery. Pathological analysis of the retrieved thrombus indicated a septic embolism, and further investigations confirmed endocarditis due to Streptococcus mitis. This case highlights the essential role of early cardiac MRI in guiding clinical decision-making, particularly in young patients with non-specific symptoms. Although rare, endocarditis-related septic embolism must be considered in the differential diagnosis of acute myocardial infarction in this population."
pmid-41798473_c0,Left Ventricular Apical Intracardiac Mass With Embolic Stroke During Aggregatibacter segnis Bacteremia Following Acute Cholangitis: A Case Report.,2026,Cureus,general,pmid-41798473,"An elderly woman with cholangiocarcinoma and a metallic biliary stent presented with fever and anorexia and was initially treated for acute cholangitis with biliary drainage and intravenous ampicillin/sulbactam. Two sets of blood cultures grew Aggregatibacter segnis (A. segnis) identified by matrix-assisted laser desorption/ionization-time-of-flight (MALDI-TOF) mass spectrometry, prompting evaluation for infective endocarditis (IE). Transthoracic echocardiography (TTE) showed no vegetation but revealed apical hypokinesis suggestive of Takotsubo cardiomyopathy. Despite antimicrobial therapy, fever persisted, and repeat TTE on hospital day 13 demonstrated a newly developed, highly mobile, irregular mass measuring 14 × 7 mm at the left ventricular apex. On hospital day 15, the patient developed aphasia and right-sided hemiparesis, and brain magnetic resonance imaging revealed extensive acute cerebral infarction involving the left hemisphere. Follow-up TTE performed immediately after the neurological event showed the complete disappearance of the apical mass, suggesting embolization. This case highlights the importance of careful echocardiographic follow-up in patients with A. segnis bacteremia, even when initial imaging is unremarkable, particularly in the presence of apical wall-motion abnormalities that may alter intracardiac flow."
pmid-41783331_c0,Aortic Arch Mural Thrombus Concurrent with Deep Surgical-Site Infection after Colorectal Cancer Surgery in an Enhanced Recovery after Surgery Program: A Case Report.,2026,Surgical case reports,general,pmid-41783331,"Aortic mural thrombus (AMT) in a non-atherosclerotic aorta is rare but potentially catastrophic and may be difficult to distinguish from septic aortic pathology when it occurs alongside a deep postoperative infection. Enhanced recovery after surgery (ERAS) shortens hospital stay and shifts the recognition of serious complications to the early post-discharge period. We report the case of a patient who underwent colorectal cancer surgery within an ERAS protocol who developed a large AMT on POD 10, coincident with Streptococcus anginosus-positive deep surgical-site infection (SSI) but without bacteremia or aortitis on imaging. A 76-year-old male with stage IVc cecal adenocarcinoma and diabetes underwent robotic-assisted ileocecal resection via the ERAS pathway. Prophylactic cefmetazole was discontinued within 24 h, and the patient was discharged on POD 5 with down-trending but elevated C-reactive protein levels. On POD 10, the patient presented with fever, leukocytosis, and decreased mobility. Contrast-enhanced CT revealed a ~38-mm AMT without mural thickening, abnormal enhancement, periaortic fat stranding, aneurysmal dilatation, or complex atherosclerotic plaque, in addition to deep port-site infection and intra-abdominal abscesses. Blood cultures (two sets) remained negative, whereas abscess and wound cultures yielded S. anginosus with polymicrobial co-pathogens. The patient underwent surgical washout and drainage, broad-spectrum antibiotics (piperacillin-tazobactam, followed by ceftriaxone and metronidazole), and systemic anticoagulation with unfractionated heparin. Transesophageal echocardiography showed a mural arch mass corresponding to the CT lesion, but no definite valvular vegetation or new significant regurgitation. On POD 16, the patient developed acute left common-internal carotid occlusion with a large middle cerebral artery infarction and died on POD 20 of septic shock and disseminated intravascular coagulation. In this patient who underwent ERAS colorectal cancer surgery, AMT developed around POD 10 in parallel with SAG-positive deep SSI, but without aortitis or bacteremia, favoring a bland mural thrombus driven by malignancy- and sepsis-related hypercoagulability while retaining nonbacterial thrombotic endocarditis/infective endocarditis in the differential diagnosis. The case highlights PODs 7-10 as a vulnerable window in ERAS pathways and supports a focused safety bundle that includes CRP-guided discharge thresholds, selective low-dose imaging, and POD 7 ± 1 follow-up to improve early post-discharge surveillance."
pmid-41783221_c0,Delayed brain abscess formation after mechanical thrombectomy for probable septic cerebral embolism: A case report and literature review.,2026,Surgical neurology international,general,pmid-41783221,"Septic cerebral embolisms (SCE) are serious neurological complications of sepsis. An embolic occlusion due to infected thrombi can precipitate ischemic stroke and a spectrum of secondary pathologies, including intracerebral hemorrhages, mycotic aneurysms, meningitis, and brain abscesses, which are a major complication of SCE. However, delayed abscess formation following cerebral infarction is rarely encountered, and the underlying mechanisms remain poorly understood. Here, we present a rare case of SCE in a patient who underwent a mechanical thrombectomy (MT) for large-vessel occlusion and developed delayed abscess formation following cerebral infarction. A 46-year-old man with a history of aortic stent graft implantation presented with sudden impairment of consciousness and right hemiparesis. Neuroradiological imaging revealed a left middle cerebral artery territory infarction due to occlusion of the left internal carotid artery. We performed emergency MT and achieved partial reperfusion. Histopathological evaluation of the retrieved thrombi revealed the presence of bacterial aggregates, confirming the diagnosis of SCE. Despite initial empiric antibiotic therapy, the patient developed a delayed brain abscess in the infarcted territory during the subacute phase. This unexpected course required further therapeutic intervention, including neurosurgical procedures and subsequent antibiotic therapy. This case highlights both the diagnostic value of retrieved thrombi in SCE and the potential for delayed abscess formation after recanalization therapy using MT. In addition, this finding suggests the importance of ongoing vigilance for delayed brain abscess formation following SCE. In a severe clinical condition of sepsis, early diagnosis and tailored interventions are essential to improve outcomes."
pmid-41783219_c0,Computed tomography perfusion-guided mechanical thrombectomy and histopathological analysis of a fibrin-rich septic embolus in infective endocarditis-related internal carotid artery occlusion.,2026,Surgical neurology international,general,pmid-41783219,"Infective endocarditis (IE) could cause cerebral infarction through septic embolization, presenting challenges in both diagnosis and treatment. Because intravenous thrombolysis is contraindicated in suspected IE-related stroke, careful evaluation of cerebral perfusion and infarct extent is crucial for selecting appropriate therapy. A 45-year-old woman was admitted to the emergency department with fever and disturbance of consciousness. Imaging revealed a cerebral infarction due to right internal carotid artery (ICA) occlusion. Echocardiography demonstrated a vegetation on the mitral valve, suggesting IE as the embolic source. As the onset time was unclear and no diffusion-weighted image-fluid-attenuated inversion recovery mismatch was observed, intravenous alteplase was considered inappropriate. Although the neurological deficit was mild, computed tomography perfusion (CTP) imaging showed extensive hypoperfusion in the right ICA-middle cerebral artery territory with a limited infarct core. Mechanical thrombectomy was therefore performed. The procedure was technically challenging, requiring a switch from aspiration thrombectomy to a combined stent retriever technique, ultimately achieving successful recanalization (thrombolysis in cerebral infarction grade 2b). Histopathological examination of the retrieved thrombus revealed fibrin-rich material containing bacterial colonies, and blood cultures were positive for Staphylococcus aureus. Subsequently, the mitral vegetation enlarged, necessitating urgent mitral valve replacement. This case illustrates the usefulness of CTP imaging in guiding treatment decisions for low National Institutes of Health Stroke Scale large-vessel occlusion associated with IE. It also emphasizes that histopathological examination of retrieved thrombi could provide valuable insights into the underlying infectious etiology and inform subsequent management strategies."
pmid-41743763_c0,Coronary features in septic patients with elevated cardiac troponin.,2025,Postepy w kardiologii interwencyjnej = Advances in interventional cardiology,general,pmid-41743763,"Cardiac troponin, which is frequently elevated in septic patients, represents a diagnostic challenge in everyday clinical practice. To investigate coronary features in septic patients with elevated cardiac troponin I (cTnI) and mechanisms of myocardial infarction. A single-center retrospective observational study was conducted in consecutive cTnI-positive septic patients undergoing coronary angiography during index hospitalization. From January 2012 to December 2022, 74 patients with peak cTnI 16647 ng/l (normal < 40 ng/l), peak C-reactive protein 234 mg/l (normal < 5 mg/l), peak procalcitonin 14 µg/l (normal < 0.20 µg/l), arterial lactate 5.1 mmol/l (normal < 2.0 mmol/l), and positive hemocultures in 39% were enrolled. Obstructive coronary disease (> 70% diameter stenosis) was documented in 65%, with multivessel involvement in 51%. Chronic total occlusion (CTO) was present in 35%, and > 50% unprotected left main (ULM) stenosis in 22%. Definite or possible acute culprit lesions were documented in 9.5% and 6.8%, respectively. The median SYNTAX (Synergy between Percutaneous Coronary Intervention with Taxus and Cardiac Surgery) score was 16 (25th and 75th IQR 0-34). Peak cTnI was significantly elevated in patients with a definite acute culprit lesion (67,659 ng/l) compared to a possible (18,422 ng/l; p = 0.030) or no acute culprit lesion (13,410 ng/l; p = 0.021). Only a weak, non-linear correlation between SYNTAX score and peak cTnI was documented (r 2 = 0.088; p = 0.006). Two-thirds of septic patients with elevated cTnI have obstructive coronary disease, with multivessel involvement in around 50%, significant ULM stenosis in 20%, and CTO in 40%. An acute culprit lesion, which is present in up to 10%, is associated with significantly elevated cTnI compared to patients with stable coronary disease."
pmid-41716451_c0,Venous Thromboembolism in Pediatric Musculoskeletal Infections: Diagnostic Challenges in a Resource-Limited Setting.,2026,Clinical case reports,general,pmid-41716451,"Venous thromboembolism is a recognized but often underdiagnosed complication of pediatric musculoskeletal infections, particularly in low-resource settings where access to Doppler ultrasonography, magnetic resonance imaging, and computed tomography pulmonary angiography (CTPA) remains limited. We describe two previously healthy children who developed deep vein thrombosis with pulmonary embolism secondary to acute musculoskeletal infection. Both presented initially with fever, severe limb pain, and rapidly progressive swelling, followed by the onset of tachypnoea and respiratory compromise. Doppler ultrasonography confirmed lower-limb deep vein thrombosis in both cases, while computed tomography pulmonary angiography in one child demonstrated bilateral pulmonary emboli with pulmonary infarction. In the second child, pulmonary embolism was diagnosed based on clinical deterioration and characteristic chest radiographic findings in the absence of available computed tomography. Both children were managed successfully with intravenous antibiotics, therapeutic anticoagulation, and surgical drainage where indicated, although one required mechanical ventilation in the pediatric intensive care unit. These cases highlight the diagnostic challenges of venous thromboembolism complicating musculoskeletal infection in resource-limited settings and emphasize the importance of maintaining a high index of suspicion when limb swelling worsens or respiratory symptoms develop. Bedside Doppler ultrasonography and timely referral remain essential tools for reducing morbidity when advanced imaging is inaccessible."
pmid-41709572_c0,The risk of cardiovascular events following community-acquired sepsis: a nationwide cohort study in Sweden.,2026,Epidemiology and infection,general,pmid-41709572,"In this nationwide cohort study, we assessed the long-term risk of major cardiovascular events following intensive care unit (ICU) treatment for community-acquired sepsis and septic shock, compared to the general population. We included 20313 adults admitted to Swedish ICUs between 2008 and 2019, identified through national healthcare registries, and matched each case to 20 randomly selected population controls. Entropy balancing adjusted for baseline co-morbidities, healthcare utilization, and socio-demographics. The association between sepsis and subsequent cardiovascular events (hospitalizations or deaths due to myocardial infarction, heart failure, or cerebral infarction) was analysed using Cox proportional hazards models. Sepsis was associated with increased cardiovascular risk, particularly during the first year (days 0-30 adjusted hazard ratio [aHR] 6.1 (95% CI 4.7-7.9); days 31-90; aHR 2.4 (95% CI 1.8-3.2); days 91-365 aHR 1.4 (95% CI 1.2-1.6)), with risk persisting through years 2-5 (aHRs 1.1-1.3). Heart failure risk remained elevated across all intervals, while risks of myocardial and cerebral infarction were mainly short term. The highest relative risks were observed in patients without prior heart disease or with low baseline cardiovascular risk. These findings suggest that sepsis might be an independent and under-recognized driver of long-term cardiovascular disease, highlighting the need for preventive strategies."
pmid-41669969_c0,Cardiogenic Shock Detection Using Electronic Medical Records: A Review and Blueprint for Clinical Implementation and Future Research.,2026,Journal of the American Heart Association,general,pmid-41669969,"Despite advances in drug and device technology, health care delivery, and research infrastructure, cardiogenic shock (CS) continues to have nearly 50% in-hospital mortality. In patients with CS, both the initial severity of Society for Cardiovascular Angiography and Intervention CS and its subsequent trajectory predicts the clinical outcomes. Accordingly, delayed initial recognition and failure to escalate or deescalate treatment can significantly affect the outcomes of CS. Traditional assessment methods, with the exception of blood pressure measurement, require a high index of suspicion and frequent reassessment by the clinical team. Electronic medical record-based detection has been successfully implemented in acute and critical care patients with septic shock and acute kidney injury. In CS, electronic medical record-based studies have largely focused on using models to predict outcomes in patients with CS, with limited data on electronic medical record-based tools to assist with either predicting CS or providing real time alerts when escalation or de-escalation might be indicated. Early detection of CS may be associated with detection of earlier Society for Cardiovascular Angiography and Intervention stages of CS and potentially prevent deterioration to higher stages. In this review, we seek to highlight a blueprint for electronic medical record-based detection of CS that focuses on reproducibility, convenience, clinical decision support, and research aspects."
